input,target_position,completion
Amy tells Zoe. James tells Brian. Paul tells Karen. David tells Ryan. Mike tells Jane. Anna tells Olivia. Susan tells Daniel. Kevin tells Jake. Emma tells Robert. Peter tells Andrew. Laura tells Eric. Tom tells Linda. Amy tells,1,Zoe
Laura helps Andrew. Amy helps Zoe. Mary helps Brian. Emma helps Helen. John helps Robert. Tom helps Thomas. Alex helps Olivia. Chris helps Grace. Anna helps Ryan. Lisa helps Linda. Mike helps Jane. Susan helps Karen. Laura helps,1,Andrew
Anna hates Jake. Laura hates Brian. Tom hates Olivia. Susan hates Adam. Chris hates Karen. Paul hates Ryan. Emma hates Emily. Lisa hates Linda. Kate hates Jason. Alex hates Helen. Mark hates Robert. Mike hates Daniel. Anna hates,1,Jake
Anna pays Karen. Laura pays Grace. Lisa pays Jake. Mike pays Brian. Tom pays Ryan. Mary pays Daniel. James pays Emily. John pays Zoe. Mark pays Lucy. David pays Helen. Susan pays Eric. Emma pays Jane. Anna pays,1,Karen
Mike tells Grace. John tells Helen. Tom tells Eric. David tells Daniel. Mark tells Lucy. Lisa tells Brian. Mary tells Andrew. James tells Zoe. Alex tells Ryan. Laura tells Jane. Kate tells Robert. Susan tells Linda. Mike tells,1,Grace
Emma tells Andrew. David tells Karen. Anna tells Olivia. Lisa tells Brian. Sarah tells Linda. Susan tells Adam. Mark tells Sophia. Amy tells Daniel. Tom tells Ryan. Peter tells Emily. Alex tells Helen. James tells Jake. Emma tells,1,Andrew
Mark likes Daniel. Lisa likes Helen. John likes Emily. Chris likes Brian. Paul likes Jake. Anna likes Sophia. Amy likes Lucy. David likes Thomas. Sarah likes Eric. Laura likes Robert. Emma likes Olivia. Tom likes Jason. Mark likes,1,Daniel
Paul fears Thomas. David fears Brian. Mark fears Jason. Kevin fears Jane. Alex fears Emily. James fears Robert. Mike fears Linda. John fears Grace. Mary fears Ryan. Sarah fears Zoe. Anna fears Sophia. Susan fears Jake. Paul fears,1,Thomas
Peter visits Helen. John visits Eric. Mark visits Jason. Amy visits Ryan. Kate visits Brian. James visits Jake. Paul visits Olivia. Alex visits Grace. Tom visits Lucy. Lisa visits Sophia. Emma visits Karen. Laura visits Linda. Peter visits,1,Helen
Laura hates Jason. James hates Helen. Alex hates Daniel. Tom hates Zoe. John hates Adam. Paul hates Jake. Peter hates Eric. Anna hates Andrew. Kevin hates Thomas. Mike hates Olivia. Kate hates Lucy. Chris hates Linda. Laura hates,1,Jason
Alex trusts Daniel. Kate trusts Emily. Sarah trusts Brian. Peter trusts Helen. Mary trusts Robert. Laura trusts Thomas. Mike trusts Lucy. Susan trusts Jake. Paul trusts Ryan. Amy trusts Jason. Tom trusts Jane. John trusts Eric. Alex trusts,1,Daniel
Paul follows Karen. Laura follows Ryan. James follows Eric. Anna follows Zoe. Lisa follows Linda. Amy follows Lucy. Peter follows Adam. Mary follows Brian. Mark follows Thomas. John follows Grace. Susan follows Sophia. Sarah follows Helen. Paul follows,1,Karen
Mark asks Karen. Kate asks Sophia. James asks Daniel. Kevin asks Jason. Mary asks Brian. Amy asks Robert. Peter asks Eric. Lisa asks Ryan. Emma asks Zoe. Tom asks Lucy. Susan asks Linda. Alex asks Grace. Mark asks,1,Karen
Peter needs Daniel. Anna needs Lucy. James needs Karen. Mike needs Eric. Sarah needs Ryan. Kate needs Helen. Emma needs Zoe. Paul needs Thomas. Tom needs Robert. Alex needs Andrew. Laura needs Sophia. Mary needs Jason. Peter needs,1,Daniel
Emma hates Daniel. Mary hates Jane. Paul hates Brian. Chris hates Robert. Anna hates Helen. Susan hates Thomas. Laura hates Jason. Peter hates Zoe. John hates Sophia. James hates Eric. Kate hates Grace. Lisa hates Jake. Emma hates,1,Daniel
John helps Jason. Paul helps Lucy. Laura helps Linda. Peter helps Thomas. Kate helps Andrew. Sarah helps Robert. Susan helps Emily. Anna helps Adam. Lisa helps Jake. Chris helps Grace. Mary helps Eric. Alex helps Ryan. John helps,1,Jason
