input,target_position,completion
Amy tells Zoe. James tells Brian. Paul tells Karen. David tells Ryan. Mike tells Jane. Anna tells Olivia. Susan tells Daniel. Kevin tells Jake. Emma tells Robert. Peter tells Andrew. Laura tells Eric. Tom tells Linda. John tells Thomas. Kate tells Grace. Mary tells Helen. Chris tells Emily. Alex tells Adam. Lisa tells Jason. Mark tells Lucy. Sarah tells Sophia. Amy tells,1,Zoe
Laura helps Andrew. Amy helps Zoe. Mary helps Brian. Emma helps Helen. John helps Robert. Tom helps Thomas. Alex helps Olivia. Chris helps Grace. Anna helps Ryan. Lisa helps Linda. Mike helps Jane. Susan helps Karen. Mark helps Jake. David helps Jason. Kate helps Adam. Sarah helps Emily. Peter helps Sophia. Kevin helps Eric. James helps Lucy. Paul helps Daniel. Laura helps,1,Andrew
Anna hates Jake. Laura hates Brian. Tom hates Olivia. Susan hates Adam. Chris hates Karen. Paul hates Ryan. Emma hates Emily. Lisa hates Linda. Kate hates Jason. Alex hates Helen. Mark hates Robert. Mike hates Daniel. James hates Zoe. Kevin hates Lucy. David hates Grace. Amy hates Jane. Mary hates Andrew. Sarah hates Sophia. Peter hates Eric. John hates Thomas. Anna hates,1,Jake
Anna pays Karen. Laura pays Grace. Lisa pays Jake. Mike pays Brian. Tom pays Ryan. Mary pays Daniel. James pays Emily. John pays Zoe. Mark pays Lucy. David pays Helen. Susan pays Eric. Emma pays Jane. Alex pays Adam. Kevin pays Sophia. Peter pays Thomas. Kate pays Jason. Paul pays Linda. Sarah pays Andrew. Amy pays Olivia. Chris pays Robert. Anna pays,1,Karen
Mike tells Grace. John tells Helen. Tom tells Eric. David tells Daniel. Mark tells Lucy. Lisa tells Brian. Mary tells Andrew. James tells Zoe. Alex tells Ryan. Laura tells Jane. Kate tells Robert. Susan tells Linda. Anna tells Jake. Amy tells Karen. Paul tells Thomas. Peter tells Adam. Sarah tells Emily. Chris tells Olivia. Emma tells Jason. Kevin tells Sophia. Mike tells,1,Grace
Emma tells Andrew. David tells Karen. Anna tells Olivia. Lisa tells Brian. Sarah tells Linda. Susan tells Adam. Mark tells Sophia. Amy tells Daniel. Tom tells Ryan. Peter tells Emily. Alex tells Helen. James tells Jake. Kevin tells Jason. Paul tells Zoe. Mike tells Grace. Kate tells Eric. Chris tells Robert. John tells Thomas. Mary tells Jane. Laura tells Lucy. Emma tells,1,Andrew
Mark likes Daniel. Lisa likes Helen. John likes Emily. Chris likes Brian. Paul likes Jake. Anna likes Sophia. Amy likes Lucy. David likes Thomas. Sarah likes Eric. Laura likes Robert. Emma likes Olivia. Tom likes Jason. Alex likes Karen. Kevin likes Andrew. Kate likes Jane. Mary likes Zoe. Mike likes Grace. Susan likes Adam. Peter likes Ryan. James likes Linda. Mark likes,1,Daniel
Paul fears Thomas. David fears Brian. Mark fears Jason. Kevin fears Jane. Alex fears Emily. James fears Robert. Mike fears Linda. John fears Grace. Mary fears Ryan. Sarah fears Zoe. Anna fears Sophia. Susan fears Jake. Kate fears Adam. Chris fears Helen. Emma fears Andrew. Amy fears Eric. Peter fears Olivia. Lisa fears Karen. Tom fears Lucy. Laura fears Daniel. Paul fears,1,Thomas
Peter visits Helen. John visits Eric. Mark visits Jason. Amy visits Ryan. Kate visits Brian. James visits Jake. Paul visits Olivia. Alex visits Grace. Tom visits Lucy. Lisa visits Sophia. Emma visits Karen. Laura visits Linda. Mary visits Jane. Sarah visits Andrew. Mike visits Emily. Anna visits Thomas. Susan visits Daniel. Chris visits Zoe. Kevin visits Robert. David visits Adam. Peter visits,1,Helen
Laura hates Jason. James hates Helen. Alex hates Daniel. Tom hates Zoe. John hates Adam. Paul hates Jake. Peter hates Eric. Anna hates Andrew. Kevin hates Thomas. Mike hates Olivia. Kate hates Lucy. Chris hates Linda. Amy hates Sophia. Mary hates Grace. Sarah hates Jane. David hates Karen. Emma hates Robert. Susan hates Brian. Lisa hates Emily. Mark hates Ryan. Laura hates,1,Jason
Alex trusts Daniel. Kate trusts Emily. Sarah trusts Brian. Peter trusts Helen. Mary trusts Robert. Laura trusts Thomas. Mike trusts Lucy. Susan trusts Jake. Paul trusts Ryan. Amy trusts Jason. Tom trusts Jane. John trusts Eric. Chris trusts Adam. James trusts Zoe. Lisa trusts Karen. Mark trusts Andrew. Anna trusts Grace. David trusts Sophia. Emma trusts Olivia. Kevin trusts Linda. Alex trusts,1,Daniel
Paul follows Karen. Laura follows Ryan. James follows Eric. Anna follows Zoe. Lisa follows Linda. Amy follows Lucy. Peter follows Adam. Mary follows Brian. Mark follows Thomas. John follows Grace. Susan follows Sophia. Sarah follows Helen. Mike follows Jason. Tom follows Emily. Kate follows Jane. Emma follows Andrew. Chris follows Olivia. Alex follows Jake. David follows Robert. Kevin follows Daniel. Paul follows,1,Karen
Mark asks Karen. Kate asks Sophia. James asks Daniel. Kevin asks Jason. Mary asks Brian. Amy asks Robert. Peter asks Eric. Lisa asks Ryan. Emma asks Zoe. Tom asks Lucy. Susan asks Linda. Alex asks Grace. Laura asks Helen. Anna asks Emily. Sarah asks Adam. Chris asks Jane. Mike asks Andrew. John asks Jake. Paul asks Thomas. David asks Olivia. Mark asks,1,Karen
Peter needs Daniel. Anna needs Lucy. James needs Karen. Mike needs Eric. Sarah needs Ryan. Kate needs Helen. Emma needs Zoe. Paul needs Thomas. Tom needs Robert. Alex needs Andrew. Laura needs Sophia. Mary needs Jason. John needs Olivia. Kevin needs Jane. Lisa needs Brian. Amy needs Adam. David needs Grace. Chris needs Linda. Mark needs Jake. Susan needs Emily. Peter needs,1,Daniel
