input,target_position,completion
Mike cooks Todd. Henry cooks Victor. Jordan cooks Amber. Austin cooks Sheila. Tim cooks Richard. Chris cooks Teresa. Luke cooks Paula. Joseph cooks Ron. Joy cooks Maggie. Dean cooks Julian. Jack cooks Phil. Emily cooks Sue. Jane cooks Lydia. Leon cooks Ted. Linda cooks Sean. Rose cooks Shawn. Nick cooks Kurt. Margaret cooks Rita. Jacob cooks Louis. Kevin cooks Kirk. Aaron cooks Joseph. Mary cooks Stephen. Pat cooks Leon. Charles cooks Tracy. Karen cooks Martin. Edward cooks Shirley. Alex cooks Jenny. John cooks Marc. Faith cooks Natalie. Carl cooks Kathy. Adam cooks Robin. Johnny cooks Vanessa. Mike cooks,1,Todd
Austin fights Paula. Jake fights Noah. Lily fights Anthony. Charles fights Leon. Emma fights Richard. Lauren fights Lydia. Blake fights Andrea. Jenny fights Ralph. Thomas fights Johnny. Jean fights Sean. George fights Louis. Lisa fights Jean. Susan fights April. Kate fights Albert. Andrew fights Angela. Kyle fights Liam. Alan fights Tracy. Eric fights Juan. Amy fights Jacob. Rick fights Ian. Joy fights Lauren. Bill fights Peggy. Melissa fights Philip. Liz fights Walter. Leo fights Shawn. Claire fights Pam. Faith fights Margaret. Joseph fights Ruby. John fights Joan. Edward fights Neil. Diana fights Lori. Ruth fights Roger. Austin fights,1,Paula
Brian affects Isaac. Amy affects Ron. Megan affects Patrick. George affects Alison. Henry affects William. Rose affects Sally. Liz affects Marie. Pat affects Shawn. Emma affects Stephanie. Margaret affects Isabel. Tom affects Russell. Sam affects Peggy. Ian affects Howard. Alex affects Robin. Blake affects Andrea. Julia affects Ruby. Lucy affects Lori. Anna affects Teresa. Joseph affects Martin. Kim affects Pam. Mark affects Stan. Jenny affects Rebecca. Tony affects Tracy. Lily affects Sean. Rad affects Zach. Leon affects Phil. Sarah affects Sylvia. Diana affects Wayne. Marc affects Keith. Paul affects Todd. Mary affects Michelle. Greg affects Valerie. Brian affects,1,Isaac
Max hates Violet. Juan hates Irene. James hates Tyler. Hope hates Sally. Robert hates Paula. Leon hates Vanessa. Keith hates Jean. Alex hates Roy. Dennis hates Robin. Thomas hates Rebecca. June hates Vincent. Daniel hates Margaret. Lauren hates Sandra. Frank hates Olga. Carl hates Julian. Ken hates Isabel. Peter hates Sue. Dean hates Neil. Arthur hates Nicole. Chris hates Teresa. Anna hates Kelly. Emily hates Stan. Jordan hates Norman. Brian hates Melanie. Jenny hates Sara. Leo hates Kurt. Jill hates Ralph. Howard hates Alexa. Bob hates Russell. Blake hates Marc. Pat hates Aiden. Marie hates Victoria. Max hates,1,Violet
John tells Howard. Kelly tells Violet. Arthur tells Sally. Katie tells Kathy. Sam tells Liz. James tells Wayne. Harry tells Irene. Grace tells Shirley. Michael tells Pam. Jordan tells Stephen. Marie tells Ray. Diana tells Angela. Steven tells Ron. Bill tells Ruby. Ben tells Melissa. Joseph tells Todd. Kate tells Kirk. Susan tells Isabel. Tony tells Kurt. Kurt tells Aiden. George tells Neil. Rose tells Renee. Rick tells Alexa. Luke tells Marc. Helen tells Marie. Pat tells Leah. Rad tells Amelia. Paul tells Richard. Mark tells William. Amy tells Troy. Tom tells Victor. Dean tells Monica. John tells,1,Howard
Claire serves Jacob. Faith serves Michelle. Rose serves Rachel. Helen serves Victoria. Linda serves Logan. Jeff serves Marie. Megan serves Ruby. Kathy serves Russell. Dave serves Irene. David serves Ian. Jack serves Leo. Keith serves Janet. Juan serves Wanda. Daniel serves Teresa. Margaret serves Troy. Emily serves Marc. Steve serves Sally. Michael serves Howard. Ian serves Violet. Jerry serves Amelia. Thomas serves Patrick. Alan serves Ken. Josh serves Paula. Emma serves Renee. Ryan serves Sean. Kim serves Liz. Pat serves Roger. Lucy serves Nancy. Liz serves Monica. Kate serves Anthony. Tim serves Kyle. Leo serves Phil. Claire serves,1,Jacob
Joseph feels Angela. Blake feels Nathan. Carol feels Amelia. Kate feels Pam. Tony feels Maggie. Jeff feels Ted. Faith feels Rachel. Max feels Noah. Dennis feels Oscar. Carl feels Roger. Susan feels Margaret. Harry feels Roy. Craig feels June. Eric feels Keith. Arthur feels Stan. Liz feels Jill. Kyle feels Ian. Jack feels Natalie. Howard feels Lori. George feels Troy. Austin feels Sean. Luke feels Rob. Grace feels Travis. Brian feels Stephanie. Alan feels Sharon. Jerry feels Liam. Jill feels Marc. Michael feels Alexa. Marie feels Ronald. Margaret feels Victoria. Hope feels Ray. Lily feels Kurt. Joseph feels,1,Angela
Ken offers Wanda. Kim offers Pam. Louis offers Norman. Matt offers Isabel. Peter offers Terry. Andrew offers Keith. Faith offers Ralph. Linda offers Ken. Blake offers Zach. Austin offers Sharon. Ben offers Joseph. Dave offers Peggy. Tim offers Ray. Liz offers Margaret. Claire offers Joy. Sarah offers Shirley. Jacob offers Sylvia. Bob offers Sara. Megan offers Liz. Margaret offers Jerry. Joy offers Martin. Jason offers Nicholas. Justin offers Sean. Will offers Richard. Jordan offers Louis. Lisa offers Monica. Steve offers Rebecca. Anna offers Michael. Craig offers Wayne. Jenny offers Paula. Diana offers Stan. Jean offers Phil. Ken offers,1,Wanda
Rad proposes Ralph. Jane proposes Stan. Susan proposes Joseph. Chris proposes Leo. Max proposes Pam. Jason proposes Shawn. Kim proposes Robin. Jacob proposes Jean. Helen proposes Oscar. Claire proposes Sharon. Joseph proposes Angela. Lauren proposes Wayne. Paul proposes Jenny. Jean proposes Kim. Michael proposes Adrian. Carol proposes Andrea. Linda proposes Howard. Julia proposes Renee. Daniel proposes Sara. Liz proposes Leon. Steven proposes Lydia. Lily proposes Rob. Luke proposes Kathy. Carl proposes Liz. Lisa proposes Johnny. James proposes Juan. Kyle proposes Jacob. Grace proposes Walter. Sam proposes Martha. Gary proposes Terry. John proposes Melissa. Brian proposes Nancy. Rad proposes,1,Ralph
Harry finds Michelle. David finds Robin. Gary finds Jenny. Maria finds Teresa. Jordan finds Judy. Faith finds Tracy. Thomas finds Johnny. Emily finds Violet. Mary finds Pam. Luke finds Albert. Jane finds Nicholas. Bob finds Rob. Anna finds Neil. Liz finds Martha. Dennis finds Lori. Arthur finds Melanie. Sarah finds Kyle. Rad finds Ruby. Alice finds Nicole. Hope finds Sylvia. Maggie finds Sheila. Frank finds Lydia. Rose finds Sara. Carl finds Zach. Linda finds Marie. Paul finds Ronald. Susan finds Vincent. Scott finds Amelia. Josh finds Travis. Johnny finds Juan. Amy finds Maggie. Ryan finds Martin. Harry finds,1,Michelle
Bill alerts Lori. Marc alerts Rebecca. Jason alerts Norman. Austin alerts Kim. Jenny alerts Logan. Emma alerts Troy. June alerts Keith. Fred alerts Marc. Leon alerts Stephen. Blake alerts Valerie. Jacob alerts Melanie. Kay alerts Martha. Helen alerts Walter. Brian alerts Jacob. George alerts Vincent. Jane alerts Kirk. Kathy alerts Roy. Melissa alerts Isaac. Emily alerts Michael. Scott alerts Joan. Lily alerts Olga. Peter alerts Tracy. Greg alerts Joy. Amy alerts Rachel. Ken alerts Vanessa. Anna alerts Wayne. Maggie alerts Angela. Nick alerts Stephanie. Sarah alerts Jordan. Jean alerts Ruby. Alice alerts Leon. Ruth alerts Louis. Bill alerts,1,Lori
Greg judges Ralph. Linda judges Rachel. Alex judges Marie. Ken judges Judy. Claire judges Troy. Melissa judges Norman. Lisa judges Janet. Joseph judges Margaret. Jerry judges Neil. George judges Roger. Harry judges Jill. Kelly judges Oscar. Rick judges Shawn. Jean judges Isabel. Fred judges Richard. Jeff judges Ruby. Rose judges Victor. Emma judges Terry. Paul judges Sandra. Jack judges Ted. Kate judges Walter. Rad judges Violet. Kyle judges Aiden. Margaret judges Tracy. Kim judges Valerie. Grace judges Jordan. Lauren judges Nicole. James judges Victoria. Tony judges Juan. Ian judges Sean. Adam judges Ian. Amy judges Andrea. Greg judges,1,Ralph
Amy changes Ashley. Dave changes Peggy. Dennis changes Teresa. Tim changes Roy. Howard changes Leon. Katie changes Robin. Joe changes Joy. Ellen changes Pamela. Michael changes Sharon. Sam changes Stephen. Robert changes Andrea. Kyle changes Marc. Jean changes Shirley. Ben changes Alison. Alan changes Sandra. Steve changes Natalie. Carl changes Martha. Grace changes Olga. Lisa changes Neil. Mary changes Lydia. Fred changes Russell. Greg changes Jill. Linda changes Amelia. Pat changes Keith. James changes Ron. Melissa changes Joseph. Julia changes Liz. Harry changes Howard. Jeff changes Adrian. Alex changes Ray. Kathy changes Monica. Leo changes Melissa. Amy changes,1,Ashley
George hates Todd. Josh hates Julian. Lauren hates Walter. Dave hates Jacob. Linda hates Kay. Pat hates Ted. Emma hates Rebecca. Henry hates Neil. Lisa hates Jean. Rick hates Sean. Fred hates Leo. Aaron hates Stan. Emily hates Leah. Hope hates Rachel. Mike hates Jordan. Brian hates Valerie. Jacob hates Kurt. Sam hates Olga. Maria hates Marie. Daniel hates Natalie. Sarah hates June. Paul hates Pam. John hates Paula. Louis hates Nancy. Lily hates Sally. Carl hates Albert. Robert hates Maggie. Ruth hates Richard. Mary hates Stephanie. Blake hates Patrick. Tony hates Vanessa. Martin hates Joy. George hates,1,Todd
