input,target_position,completion
Mike cooks Todd. Henry cooks Victor. Jordan cooks Amber. Austin cooks Sheila. Tim cooks Richard. Chris cooks Teresa. Luke cooks Paula. Joseph cooks Ron. Joy cooks Maggie. Dean cooks Julian. Jack cooks Phil. Emily cooks Sue. Jane cooks Lydia. Leon cooks Ted. Linda cooks Sean. Rose cooks Shawn. Nick cooks Kurt. Margaret cooks Rita. Jacob cooks Louis. Kevin cooks Kirk. Aaron cooks Joseph. Mary cooks Stephen. Pat cooks Leon. Charles cooks Tracy. Karen cooks Martin. Edward cooks Shirley. Alex cooks Jenny. John cooks Marc. Faith cooks Natalie. Carl cooks Kathy. Adam cooks Robin. Johnny cooks Vanessa. Bob cooks Juan. Katie cooks Roy. Ian cooks Amelia. Greg cooks Ken. Steven cooks Michelle. Rick cooks Irene. Helen cooks Sharon. Will cooks Rebecca. Bill cooks Marie. Lily cooks Ray. Kelly cooks Pamela. Tony cooks Kelly. Diana cooks Joy. Rad cooks Victoria. Sam cooks Rob. Maria cooks Lori. Jill cooks Isabel. Ryan cooks Zach. Julia cooks Jacob. Donna cooks Vincent. Jake cooks Sylvia. Jean cooks Jill. Jeff cooks Renee. June cooks Stan. Maggie cooks Leah. Steve cooks Sandra. Emma cooks Peggy. Ben cooks Olga. Paul cooks Isaac. Hannah cooks Justin. Matt cooks Melanie. Jenny cooks Patrick. Mike cooks,1,Todd
Austin fights Paula. Jake fights Noah. Lily fights Anthony. Charles fights Leon. Emma fights Richard. Lauren fights Lydia. Blake fights Andrea. Jenny fights Ralph. Thomas fights Johnny. Jean fights Sean. George fights Louis. Lisa fights Jean. Susan fights April. Kate fights Albert. Andrew fights Angela. Kyle fights Liam. Alan fights Tracy. Eric fights Juan. Amy fights Jacob. Rick fights Ian. Joy fights Lauren. Bill fights Peggy. Melissa fights Philip. Liz fights Walter. Leo fights Shawn. Claire fights Pam. Faith fights Margaret. Joseph fights Ruby. John fights Joan. Edward fights Neil. Diana fights Lori. Ruth fights Roger. Paul fights Stephen. Carl fights Sara. Jane fights Joy. Peter fights Ted. Adam fights Joseph. Lucy fights Martin. Karen fights Kurt. Hannah fights Ronald. Julia fights Sue. Ellen fights Troy. Donna fights Renee. Gary fights Valerie. Jill fights Ray. Mary fights Teresa. Ben fights Isaac. Frank fights Stephanie. Steve fights Aiden. Marc fights Irene. Jack fights William. Rose fights Victor. Josh fights Melissa. James fights Rebecca. Anne fights Jerry. Dennis fights Judy. Kay fights Alicia. Sarah fights Ashley. Marie fights Rob. Ryan fights Shirley. Pat fights Vincent. Joe fights Patrick. Jerry fights Monica. Johnny fights Kelly. Austin fights,1,Paula
Brian affects Isaac. Amy affects Ron. Megan affects Patrick. George affects Alison. Henry affects William. Rose affects Sally. Liz affects Marie. Pat affects Shawn. Emma affects Stephanie. Margaret affects Isabel. Tom affects Russell. Sam affects Peggy. Ian affects Howard. Alex affects Robin. Blake affects Andrea. Julia affects Ruby. Lucy affects Lori. Anna affects Teresa. Joseph affects Martin. Kim affects Pam. Mark affects Stan. Jenny affects Rebecca. Tony affects Tracy. Lily affects Sean. Rad affects Zach. Leon affects Phil. Sarah affects Sylvia. Diana affects Wayne. Marc affects Keith. Paul affects Todd. Mary affects Michelle. Greg affects Valerie. Emily affects Martha. Faith affects Rita. Ken affects Margaret. Chris affects Kirk. Susan affects Irene. Carl affects Ian. Austin affects Roy. Peter affects Liam. Alice affects Kurt. Luke affects Jordan. Carol affects Noah. Josh affects Ralph. Alan affects Marc. Kevin affects Pamela. Dean affects Jerry. Juan affects Jacob. Johnny affects Johnny. Katie affects Ken. Maggie affects Juan. Hope affects Amber. Kathy affects Olga. Leo affects Ashley. Donna affects Joan. Jason affects Natalie. Adam affects Roger. Edward affects Aiden. Steven affects Ronald. Jordan affects Jill. John affects Sara. Kay affects April. Eric affects Melanie. Lisa affects Justin. Brian affects,1,Isaac
Max hates Violet. Juan hates Irene. James hates Tyler. Hope hates Sally. Robert hates Paula. Leon hates Vanessa. Keith hates Jean. Alex hates Roy. Dennis hates Robin. Thomas hates Rebecca. June hates Vincent. Daniel hates Margaret. Lauren hates Sandra. Frank hates Olga. Carl hates Julian. Ken hates Isabel. Peter hates Sue. Dean hates Neil. Arthur hates Nicole. Chris hates Teresa. Anna hates Kelly. Emily hates Stan. Jordan hates Norman. Brian hates Melanie. Jenny hates Sara. Leo hates Kurt. Jill hates Ralph. Howard hates Alexa. Bob hates Russell. Blake hates Marc. Pat hates Aiden. Marie hates Victoria. Greg hates Johnny. Steve hates Walter. Linda hates Ashley. Maria hates Melissa. Austin hates Phil. Donna hates Natalie. Kyle hates Oscar. Ellen hates Nancy. Sarah hates Leah. Ben hates Pam. Julia hates Jill. Justin hates Kay. Joy hates Sheila. Lily hates Liam. Tony hates Rob. Jake hates Amber. George hates Joan. Mark hates Justin. Megan hates Ian. Harry hates Ray. Jerry hates Sean. Mike hates Ken. David hates Keith. Marc hates Angela. Grace hates Lydia. Jason hates April. Kevin hates Anthony. Matt hates Shirley. Jane hates Jenny. Liz hates Amelia. Diana hates Monica. Sam hates Nathan. Max hates,1,Violet
John tells Howard. Kelly tells Violet. Arthur tells Sally. Katie tells Kathy. Sam tells Liz. James tells Wayne. Harry tells Irene. Grace tells Shirley. Michael tells Pam. Jordan tells Stephen. Marie tells Ray. Diana tells Angela. Steven tells Ron. Bill tells Ruby. Ben tells Melissa. Joseph tells Todd. Kate tells Kirk. Susan tells Isabel. Tony tells Kurt. Kurt tells Aiden. George tells Neil. Rose tells Renee. Rick tells Alexa. Luke tells Marc. Helen tells Marie. Pat tells Leah. Rad tells Amelia. Paul tells Richard. Mark tells William. Amy tells Troy. Tom tells Victor. Dean tells Monica. Donna tells Ralph. Kyle tells Liam. Jason tells Russell. Ian tells Natalie. Jacob tells Jenny. Megan tells Alison. Kevin tells Lauren. Anna tells Sara. Jean tells Oscar. Emma tells Ken. Anne tells Leo. Emily tells Anthony. Blake tells Leon. Jill tells Nathan. Jenny tells Walter. Ruth tells Ashley. Steve tells Ted. Aaron tells Noah. Leon tells Lori. Juan tells Paula. Alan tells Rebecca. Will tells Pamela. Matt tells Julian. Robert tells Logan. Leo tells Albert. Craig tells Adrian. Andrew tells Stan. Thomas tells Joy. Melissa tells Zach. Mary tells Terry. Max tells Melanie. Faith tells Tyler. John tells,1,Howard
Claire serves Jacob. Faith serves Michelle. Rose serves Rachel. Helen serves Victoria. Linda serves Logan. Jeff serves Marie. Megan serves Ruby. Kathy serves Russell. Dave serves Irene. David serves Ian. Jack serves Leo. Keith serves Janet. Juan serves Wanda. Daniel serves Teresa. Margaret serves Troy. Emily serves Marc. Steve serves Sally. Michael serves Howard. Ian serves Violet. Jerry serves Amelia. Thomas serves Patrick. Alan serves Ken. Josh serves Paula. Emma serves Renee. Ryan serves Sean. Kim serves Liz. Pat serves Roger. Lucy serves Nancy. Liz serves Monica. Kate serves Anthony. Tim serves Kyle. Leo serves Phil. Luke serves Alicia. Kyle serves Zach. James serves Kim. Jake serves Stan. Mary serves Ron. Gary serves Andrea. Jenny serves Wayne. Rick serves Kurt. Andrew serves Ted. Joy serves Jean. Maria serves Melissa. Frank serves Justin. Jordan serves Nathan. Jill serves Ray. Max serves Aiden. Louis serves Margaret. Carl serves Liam. Bob serves Shirley. Kelly serves Shawn. Nick serves Ralph. Laura serves Richard. Dean serves April. Maggie serves Peggy. Grace serves Nicole. Ellen serves Amber. Amy serves Travis. Anna serves Natalie. Hannah serves Noah. Austin serves Pamela. Rad serves Louis. Dennis serves Sheila. Scott serves Jordan. Claire serves,1,Jacob
Joseph feels Angela. Blake feels Nathan. Carol feels Amelia. Kate feels Pam. Tony feels Maggie. Jeff feels Ted. Faith feels Rachel. Max feels Noah. Dennis feels Oscar. Carl feels Roger. Susan feels Margaret. Harry feels Roy. Craig feels June. Eric feels Keith. Arthur feels Stan. Liz feels Jill. Kyle feels Ian. Jack feels Natalie. Howard feels Lori. George feels Troy. Austin feels Sean. Luke feels Rob. Grace feels Travis. Brian feels Stephanie. Alan feels Sharon. Jerry feels Liam. Jill feels Marc. Michael feels Alexa. Marie feels Ronald. Margaret feels Victoria. Hope feels Ray. Lily feels Kurt. Linda feels Marie. Ken feels Walter. Maggie feels Nicole. Sarah feels Tracy. Jake feels Michael. Mary feels Justin. Sam feels Ralph. Maria feels Todd. Ben feels Violet. Laura feels Shirley. Kim feels Judy. Emma feels Leon. Katie feels Sally. Dave feels Leah. Lucy feels Albert. Anne feels Aiden. Claire feels Leo. Diana feels Ken. Alex feels Jerry. Matt feels Martin. Johnny feels Kara. Joe feels Sheila. Adam feels Alicia. Kay feels Peggy. Melissa feels Irene. Martin feels Amber. Kurt feels Kelly. Helen feels Zach. Josh feels Sylvia. Marc feels Lydia. Henry feels Johnny. Aaron feels Isaac. Joseph feels,1,Angela
Ken offers Wanda. Kim offers Pam. Louis offers Norman. Matt offers Isabel. Peter offers Terry. Andrew offers Keith. Faith offers Ralph. Linda offers Ken. Blake offers Zach. Austin offers Sharon. Ben offers Joseph. Dave offers Peggy. Tim offers Ray. Liz offers Margaret. Claire offers Joy. Sarah offers Shirley. Jacob offers Sylvia. Bob offers Sara. Megan offers Liz. Margaret offers Jerry. Joy offers Martin. Jason offers Nicholas. Justin offers Sean. Will offers Richard. Jordan offers Louis. Lisa offers Monica. Steve offers Rebecca. Anna offers Michael. Craig offers Wayne. Jenny offers Paula. Diana offers Stan. Jean offers Phil. Pat offers Jean. Julia offers Rita. Jeff offers Juan. Jake offers Alicia. Sam offers Travis. Fred offers Ian. Alan offers Anthony. Brian offers Todd. Emma offers June. Dennis offers Jill. Greg offers Sandra. Mike offers Irene. Howard offers Neil. Adam offers Kay. Hope offers Roy. Alex offers Melissa. Kate offers Joan. Maggie offers Sally. Kay offers Victor. Katie offers Amber. Grace offers Julian. Karen offers Adrian. Aaron offers April. Tony offers Albert. Mary offers Teresa. Eric offers Jordan. Ellen offers Tyler. Joseph offers Marc. Johnny offers Tracy. Rad offers Nicole. Ian offers Logan. Carol offers Howard. Ken offers,1,Wanda
Rad proposes Ralph. Jane proposes Stan. Susan proposes Joseph. Chris proposes Leo. Max proposes Pam. Jason proposes Shawn. Kim proposes Robin. Jacob proposes Jean. Helen proposes Oscar. Claire proposes Sharon. Joseph proposes Angela. Lauren proposes Wayne. Paul proposes Jenny. Jean proposes Kim. Michael proposes Adrian. Carol proposes Andrea. Linda proposes Howard. Julia proposes Renee. Daniel proposes Sara. Liz proposes Leon. Steven proposes Lydia. Lily proposes Rob. Luke proposes Kathy. Carl proposes Liz. Lisa proposes Johnny. James proposes Juan. Kyle proposes Jacob. Grace proposes Walter. Sam proposes Martha. Gary proposes Terry. John proposes Melissa. Brian proposes Nancy. Robert proposes Lori. Pat proposes Kara. Juan proposes Amelia. Anne proposes Shirley. Dave proposes Ashley. Aaron proposes Vincent. Blake proposes Alison. Hope proposes Liam. Amy proposes Olga. Karen proposes Kay. Craig proposes Jerry. Margaret proposes Judy. Ken proposes Peggy. Charles proposes Julian. Rick proposes Natalie. Emily proposes Joan. Keith proposes Kyle. Donna proposes Logan. Alex proposes Ian. Mary proposes Ron. Rose proposes Violet. Jill proposes Louis. Marc proposes Troy. Jordan proposes Stephen. Melissa proposes Sheila. Hannah proposes Rita. Kurt proposes Marie. Marie proposes Isaac. Alice proposes Philip. Sarah proposes Sylvia. Katie proposes Ken. Fred proposes Ted. Rad proposes,1,Ralph
Harry finds Michelle. David finds Robin. Gary finds Jenny. Maria finds Teresa. Jordan finds Judy. Faith finds Tracy. Thomas finds Johnny. Emily finds Violet. Mary finds Pam. Luke finds Albert. Jane finds Nicholas. Bob finds Rob. Anna finds Neil. Liz finds Martha. Dennis finds Lori. Arthur finds Melanie. Sarah finds Kyle. Rad finds Ruby. Alice finds Nicole. Hope finds Sylvia. Maggie finds Sheila. Frank finds Lydia. Rose finds Sara. Carl finds Zach. Linda finds Marie. Paul finds Ronald. Susan finds Vincent. Scott finds Amelia. Josh finds Travis. Johnny finds Juan. Amy finds Maggie. Ryan finds Martin. Bill finds Norman. Lisa finds Renee. Donna finds Peggy. Greg finds Liz. Ellen finds Keith. Tony finds Anthony. James finds Stephanie. Craig finds Sandra. Marie finds Irene. Claire finds Nancy. Matt finds Wanda. Tom finds Julian. Alex finds Roy. Karen finds Ralph. Mark finds Rita. Jerry finds Wayne. Will finds Vanessa. Keith finds Ray. Helen finds Joan. Kim finds Jerry. Margaret finds Alicia. Robert finds Ken. Emma finds Alison. June finds Leah. Mike finds Terry. Daniel finds Marc. Charles finds Nathan. Steven finds Isaac. Andrew finds April. Leon finds Andrea. Jenny finds Leo. Justin finds Aiden. Harry finds,1,Michelle
